front_hooks,word,back_hooks,alphagram,definition
,JANNY,,AJNNY,"to act as a disguised merrymaker at Christmas [v -NIED, -NYING, -NIES]"
,JEEZE,,EEEJZ,jeez (used as a mild oath) [interj]
d,JIBBA,hs,ABBIJ,a long coat worn by Muslim men [n -S]
,JIRDS,,DIJRS,"JIRD, a long-tailed rodent [n]"
,JOCKY,,CJKOY,"resembling an athlete (one skilled in feats of physical strength and agility) [adj JOCKIER, JOCKIEST]"
,JOOKS,,JKOOS,"JOOK, a tavern that has a jukebox [n]"
,JUMAR,s,AJMRU,"to climb with ropes using a type of clamp [v -MARED, -MARING, -MARS or -MARRED, -MARRING, -MARS]"
,JUVIE,s,EIJUV,a juvenile delinquent [n -S]
,KAPOW,s,AKOPW,a sudden sharp sound [n -S]
,KAPUS,,AKPSU,"KAPU, a Hawaiian set of rules for daily life [n]"
,KARRI,s,AIKRR,an Australian eucalyptus [n -S]
,KEMPY,,EKMPY,"having coarse hair or fibers [adj KEMPIER, KEMPIEST]"
,KETAS,,AEKST,"KETA, a type of salmon (a food fish) [n]"
,KEYER,s,EEKRY,a device that turns an electronic circuit on or off [n -S] / KEY [adj]
,KIACK,s,ACIKK,a fish of the herring family [n -S]
,KINDA,,ADIKN,[adv]
,KIPPA,hs,AIKPP,a yarmulke (a skullcap worn by Jewish males) [n -S]
,KLIEG,s,EGIKL,an electric lamp used in filming [n -S]
,KNURR,s,KNRRU,knur (a bump on a tree) [n -S]
,KOFTA,s,AFKOT,a spiced ball of meat or fish in Indian cooking [n -S]
,KOKAM,s,AKKMO,kokum (an East Indian tree) [n -S]
,KOKUM,s,KKMOU,an East Indian tree [n -S]
,KRAIS,,AIKRS,"KRAI, an administrative territory of Russia [n]"
,KRAYS,,AKRSY,"KRAY, krai (an administrative territory of Russia) [n]"
,KUBIE,s,BEIKU,a kubasa on a bun [n -S]
,KULFI,s,FIKLU,an Indian dessert resembling ice cream [n -S]
,KUMIS,s,IKMSU,koumiss (a beverage made from camel's milk) [n -ES]
,KYLIN,s,IKLNY,a composite mythical animal [n -S]
,LADDY,,ADDLY,"laddish in behavior [adj LADDIER, LADDIEST]"
s,LAHAL,s,AAHLL,a team game played by indigenous peoples of the Pacific Northwest [n -S]
g,LAIRY,,AILRY,"unpleasantly loud [adj -RIER, -RIEST]"
bp,LANCH,,ACHLN,"to haul a boat over ice [v -ED, -ING, -ES]"
,LARNS,,ALNRS,"LARN, to learn (to gain knowledge by experience, instruction, or study) [v]"
,LARNT,,ALNRT,"LARN, to learn (to gain knowledge by experience, instruction, or study) [v]"
cg,LASSY,,ALSSY,molasses (a thick syrup) [n LASSIES]
g,LEDES,,DEELS,"LEDE, the introductory section of a news story [n]"
,LEVAS,,AELSV,"LEV, a monetary unit of Bulgaria [n]"
,LINNY,,ILNNY,a row of rooms across the back of a house [n -NIES]
,LIPAS,e,AILPS,"LIPA, a monetary unit of Croatia [n]"
,LIPOS,,ILOPS,"LIPO, liposuction [n]"
bef,LITES,t,EILST,"LITE, a beer having relatively few calories [n]"
c,LOCHE,s,CEHLO,a fish of the cod family [n -S]
,LOCIE,s,CEILO,loci (an engine used in logging) [n -S]
,LOCIS,,CILOS,"LOCI, an engine used in logging [n]"
,LOOKY,,KLOOY,used to draw attention to something [interj]
,LOTSA,,ALOST,[adj]
,LOTTA,,ALOTT,[n LOTTE]
,LOVEY,s,ELOVY,"a sweetheart [n LOVEYS] / fondly affectionate [adj LOVIER, LOVIEST]"
,LUDOS,,DLOSU,"LUDO, a simple board game [n]"
,LUVED,,DELUV,"LUV, to love (to feel great affection for) [v]"
,LUVVY,,LUVVY,lovey (a sweetheart) [n LUVVIES]
,LUXER,,ELRUX,"LUXE, deluxe (of special elegance or luxury) [adj]"
,MAHUA,s,AAHMU,an Indian tree [n -S]
,MAHWA,s,AAHMW,mahua (an Indian tree) [n -S]
,MAKIS,,AIKMS,"MAKI, a dish of sushi and raw vegetables wrapped in seaweed [n]"
,MAMEE,s,AEEMM,mamey (a tropical tree) [n -S]
,MANEB,s,ABEMN,a powder for killing fungi [n -S]
,MANKY,,AKMNY,"inferior, defective [adj MANKIER, MANKIEST]"
,MASES,,AEMSS,"MAS, MA, mother [n]"
,MAUSY,,AMSUY,"mauzy (foggy, misty) [adj MAUSIER, MAUSIEST]"
,MAUZY,,AMUYZ,"foggy, misty [adj MAUZIER, MAUZIEST]"
,MECHS,,CEHMS,"MECH, a mechanic (a person who works with machines) [n]"
,MENTO,rs,EMNOT,a style of Jamaican folk music [n -TOS]
,MICKY,,CIKMY,mickey (a drugged drink) [n MICKIES]
,MIKVA,hs,AIKMV,mikvah (a place for ritual bathing by Orthodox Jews) [n -S]
,MIRID,s,DIIMR,a variety of leaf bug [n -S]
,MOCHI,s,CHIMO,a Japanese confection made with rice flour and sweetened bean paste [n -S]
,MOFOS,,FMOOS,"MOFO, an offensive word [n]"
,MOHOS,,HMOOS,"MOHO, a boundary separating the earth's crust and mantle (the region between the crust and the core) [n]"
,MOLYS,,LMOSY,"MOLY, a wild garlic [n]"
,MONIC,,CIMNO,denoting a type of polynomial [adj]
,MONTY,,MNOTY,the full amount expected or possible [n -TIES]
,MOOKS,,KMOOS,"MOOK, a foolish or contemptible person [n]"
,MOPPY,,MOPPY,"resembling a mop [adj -PIER, -PIEST]"
,MULIE,s,EILMU,a western North American deer [n -S]
,MUMSY,,MMSUY,"maternal (pertaining to or characteristic of a mother) [adj MUMSIER, MUMSIEST] / [n MUMSIES]"
,MUNGS,,GMNSU,"MUNG, a round green bean [n]"
,MUSOS,,MOSSU,"MUSO, a musician (one who performs or composes music) [n]"
,MUTHA,s,AHMTU,an offensive word [n -S]
,MUXED,,DEMUX,"MUX, to transmit several messages simultaneously along a single channel [v]"
,MUXES,,EMSUX,"MUX, to transmit several messages simultaneously along a single channel [v]"
,MUZAK,s,AKMUZ,recorded background music [n -S]
,NAGAS,,AAGNS,"NAGA, a half-snake, half-human creature in Hinduism [n]"
,NANNA,s,AANNN,nana (a grandmother) [n -S]
,NANOS,,ANNOS,"NANO, science that deals with materials on an atomic or molecular scale [n]"
,NEWBS,,BENSW,"NEWB, a newbie (a newcomer (one that has recently arrived)) [n]"
,NEXTS,,ENSTX,"NEXT, the one that comes immediately after [n]"
s,NIFFS,,FFINS,"NIFF, to stink (to emit a foul odor) [v]"
s,NIFFY,,FFINY,"stinky (emitting a foul odor) [adj NIFFIER, NIFFIEST]"
,NIKAH,s,AHIKN,a Muslim marriage ceremony [n -S]
,NINER,s,EINNR,a student in the ninth grade [n -S]
,NIQAB,s,ABINQ,a veil worn by some Muslim women [n -S]
,NOYAU,x,ANOUY,a liqueur made of brandy and fruit kernels [n -YAUX]
s,NUFFS,,FFNSU,"NUFF, enough (a sufficient supply) [n]"
,NUMMY,,MMNUY,"delicious [adj NUMMIER, NUMMIEST]"
,NUTSO,s,NOSTU,[n -S]
s,OAKED,,ADEKO,matured in an oak container [adj]
bl,OCHES,,CEHOS,"OCHE, a line behind which players stand when throwing darts [n]"
,OGEED,,DEEGO,"OGEE, an S-shaped molding [adj]"
cmr,OLLIE,ds,EILLO,"to perform a maneuver in skateboarding or snowboarding [v OLLIED, OLLIEING, OLLIES]"
,ORACY,,ACORY,skill in oral expression and comprehension [n -CIES]
,OSCAR,s,ACORS,a South American fish [n -S]
,OTAKU,,AKOTU,young people in Japan who are highly skilled in computer technology [n]
,OUTRO,sw,OORTU,a concluding passage of a piece of music [n -S]
,OUTTA,,AOTTU,[prep]
b,OXERS,,EORSX,"OXER, a fence for keeping in cattle [n]"
,PAANS,,AANPS,"PAAN, a betel leaf folded round pieces of betel nut and spices [n]"
,PALIS,h,AILPS,"PALI, a cliff in Hawaii [n]"
,PALSA,s,AALPS,a landform of subarctic regions [n -S]
,PAREN,st,AENPR,a parenthesis [n -S]
s,PARKY,,AKPRY,"chilly (cool (moderately cold)) [adj PARKIER, PARKIEST]"
,PASHM,s,AHMPS,the inner fur of some Tibetan animals [n -S]
,PASKA,s,AAKPS,paskha (a Russian dessert eaten at Easter) [n -S]
,PAUAS,,AAPSU,"PAUA, a large New Zealand shellfish [n]"
,PELAU,s,AELPU,"a dish made with meat, rice, and pigeon peas [n -S]"
,PEPSI,ns,EIPPS,an offensive word [n -S]
,PERCS,,CEPRS,"PERC, a chemical used in dry cleaning [n]"
,PERVO,s,EOPRV,a perv (one who is sexually perverted) [n -VOS]
,PERVY,,EPRVY,"sexually perverted [adj PERVIER, PERVIEST]"
,PHISH,,HHIPS,"to engage in phishing [v -ED, -ING, -ES]"
,PHIZZ,,HIPZZ,phiz (a face or facial expression) [n -ES]
,PIANI,c,AIINP,music passages to be played softly [n]
,PIEZO,,EIOPZ,pertaining to a type of electricity [adj]
,PIPAS,,AIPPS,"PIPA, a four-stringed Chinese lute [n]"
,PISSY,,IPSSY,"[adj PISSIER, PISSIEST] / an offensive word [adj -IER, -IEST]"
,PITOT,s,IOPTT,a tube used to measure the pressure of a fluid stream [n -S]
,PLOYE,ds,ELOPY,a buckwheat pancake [n -S]
,PLUOT,s,LOPTU,a hybrid fruit of plum and apricot [n -S]
,POGOS,,GOOPS,"POGO, to jump up and down as if on a pogo stick [v]"
,POMBE,s,BEMOP,an African drink made from grain and fruit [n -S]
,PONCY,,CNOPY,"[adj PONCIER, PONCIEST] / an offensive word [adj -IER, -IEST]"
,PONGO,s,GNOOP,an anthropoid ape [n -GOS]
s,PONGY,,GNOPY,"stinky (emitting a foul odor) [adj PONGIER, PONGIEST]"
,PONZU,s,NOPUZ,a tangy sauce used chiefly on seafood [n -S]
,POOJA,s,AJOOP,puja (a Hindu prayer ritual) [n -S]
,POOKA,s,AKOOP,a hobgoblin in Irish myths [n -S]
,POOPY,,OOPPY,"stupid or ineffectual [adj POOPIER, POOPIEST]"
,PORIN,gs,INOPR,any of a class of proteins through which molecules can diffuse [n -S]
,POSEY,,EOPSY,"pretentious [adj POSIER, POSIEST]"
,PRANA,s,AANPR,breath as a life-giving force in Hinduism [n -S]
,PROBS,,BOPRS,"PROB, a problem (a perplexing question or situation) [n]"
,PUDGE,s,DEGPU,fat on a body [n -S]
,PUDUS,,DPSUU,"PUDU, a small deer of South America [n]"
,PUKEY,,EKPUY,"resembling or suggestive of vomit [adj PUKIER, PUKIEST]"
,PULAO,s,ALOPU,pilaf (a dish made of seasoned rice and often meat) [n -LAOS]
,PULAS,,ALPSU,"PULA, a monetary unit of Botswana [n]"
,PULKA,s,AKLPU,pulk (a small sled) [n -S]
,PULKS,,KLPSU,"PULK, a small sled [n]"
,PZAZZ,,APZZZ,pizazz (the quality of being exciting or attractive) [n -ES]
,QAJAQ,s,AAJQQ,kayak [n -S]
,QIBLA,s,ABILQ,kiblah (the direction toward which Muslims face while praying) [n -S]
,RAGER,s,AEGRR,one that rages (to act or speak with violent anger) [n -S]
,RAGGA,s,AAGGR,music that combines reggae and hip hop [n -S]
,RAMIN,s,AIMNR,a Malaysian tree [n -S]
opw,RANGS,,AGNRS,"RANG, a row of long lots along a road [n]"
,RAVEY,,AERVY,"characteristic of a rave (an all-night dance party with fast electronic music) [adj RAVIER, RAVIEST]"
,REDDY,,DDERY,"reddish (somewhat red) [adj REDDIER, REDDIEST]"
,REGIE,s,EEGIR,a government regulatory body in Quebec [n -S]
,REIKI,s,EIIKR,a healing technique involving touching with the hands [n -S]
,RENOS,,ENORS,"RENO, a renovated house [n]"
,REORG,s,EGORR,"to reorganize (to form into an orderly whole) [v -ED, -ING, -S]"
,RESES,,EERSS,"RES, a university or college residence [n]"
p,REZES,,EERSZ,"REZ, an area of land set aside for Native Americans [n]"
,RONDE,ls,DENOR,a dance in which the dancers move in a circle [n -S]
,RONIN,s,INNOR,a wandering samurai [n -S]
,ROSTI,s,IORST,a Swiss dish of fried grated potatoes topped with cheese [n -S]
,RUBLI,,BILRU,"RUBEL, a monetary unit of Belarus [n]"
,RUKHS,,HKRSU,"RUKH, a roc (a legendary bird of prey) [n]"
d,RUMLY,,LMRUY,in an odd or peculiar way [adv]
,SAKTI,s,AIKST,the wife of a god in Hinduism [n -S]
,SALAT,s,AALST,the ritual prayer of Muslims [n -S]
,SALUT,e,ALSTU,used to express friendship before a drink [interj]
,SAMEY,,AEMSY,"lacking variety [adj SAMIER, SAMIEST]"
,SAMFU,s,AFMSU,a casual Chinese outfit of jacket and pants [n -S]
,SCOPA,e,ACOPS,a small tuft of hair on the body of an insect [n -PAE]
,SCRAN,s,ACNRS,food (a substance taken into the body to maintain life and growth) [n -S]
,SCROB,s,BCORS,"to scrape with or as with claws [v SCROBBED, SCROBBING, SCROBS]"
,SEIZA,s,AEISZ,a kneeling position in Japanese martial arts [n -S]
,SEMEE,,EEEMS,covered all over with small heraldic figures [adj]
,SENES,,EENSS,"SENE, a monetary unit of Samoa [n]"
,SENTS,,ENSST,"SENT, a monetary unit of Estonia [n]"
,SEXER,s,EERSX,one that sexes (to determine the sex (the property by which organisms are classified according to reproductive functions) of) [n -S]
,SHERO,,EHORS,a woman regarded as a hero [n -ROES]
,SHITE,s,EHIST,an offensive word [n -S]
,SHIUR,,HIRSU,a Talmudic study session [n SHIURIM]
,SHMOE,s,EHMOS,schmo (a stupid person) [n -S]
,SHOJO,,HJOOS,manga intended primarily for girls [n SHOJO]
,SHTUM,,HMSTU,"schtum (silent (making no sound or noise)) [adj] / [adj -MER, -MEST]"
,SHTUP,s,HPSTU,"[v -PED, -PING, -S] / an offensive word [v -ED, -ING, -S]"
,SHURA,s,AHRSU,an advisory council [n -S]
,SICKY,,CIKSY,[n SICKIES]
,SIXER,s,EIRSX,the leader of a group of six Brownies or Cubs [n -S]
,SKEDS,,DEKSS,"SKED, to schedule (to assign to a certain date or time) [v]"
,SKOLS,,KLOSS,"SKOL, to skoal (to drink to the health of) [v]"
,SLOMO,s,LMOOS,slow motion [n -MOS]
,SMORG,s,GMORS,a smorgasbord [n -S]
,SOCES,,CEOSS,"SOC, a sociology course [n]"
,SOJUS,,JOSSU,"SOJU, Korean vodka distilled from rice or sweet potato [n]"
,SOLAS,,ALOSS,"SOLA, a swamp plant of India [n]"
a,SPECT,s,CEPST,"[v -ED, -ING, -S]"
,SPROG,s,GOPRS,a small child (a young person) [n -S]
,STONK,s,KNOST,"to bombard with artillery fire [v -ED, -ING, -S]"
,SUETE,s,EESTU,a southeasterly wind in areas of Cape Breton Island [n -S]
,SUKHS,,HKSSU,"SUKH, a souk (a marketplace in northern Africa and the Middle East) [n]"
,SUMIS,,IMSSU,"SUMI, a type of black Japanese ink [n]"
,SUSED,,DESSU,"SUS, to suss (to figure out or check out) [v]"
,SUSES,,ESSSU,"SUS, to suss (to figure out or check out) [v]"
,SWILE,rs,EILSW,a seal (a marine mammal) [n -S]
,SYCON,s,CNOSY,a type of sponge [n -S] : SYCONOID ~adj
,TACAN,s,AACNT,a navigational system for aircraft [n -S]
,TAIKO,s,AIKOT,a barrel-shaped Japanese drum [n -KOS]
,TALCY,,ACLTY,"[adj TALCIER, TALCIEST] / TALC, to treat with talc (a soft mineral with a soapy texture) [adj]"
,TARGA,s,AAGRT,a type of convertible sports car [n -S]
,TASED,,ADEST,"TASE, to stun with a gun that fires electrified darts [v]"
,TASER,s,AERST,[n -S] / TASE [adj]
s,TASES,,AESST,"TASE, to stun with a gun that fires electrified darts [v]"
,TASSO,s,AOSST,spicy cured pork [n -SOS]
,TAYRA,s,AARTY,a large mammal of Central and South America [n -S]
,TEGUS,,EGSTU,"TEGU, a large lizard of South America [n]"
s,TEINS,,EINST,"TEIN, a monetary unit of Kazakhstan [n]"
,TENNE,rs,EENNT,an orange-brown color [n -S] / a monetary unit of Turkmenistan [n TENNESI]
,TENNO,s,ENNOT,the emperor of Japan considered as a divinity [n -NOS]
,TENNY,,ENNTY,tenne (an orange-brown color) [n -NIES]
s,TERES,,EERST,either of two muscles helping to rotate the arm [n TERETES] / [n -ES]
,THALI,s,AHILT,a platter on which food is served in India [n -S]
,THANG,s,AGHNT,[n -S]
,TIANS,,AINST,"TIAN, a large oval cooking pot [n]"
s,TITCH,y,CHITT,a small amount [n -ES]
,TIYIN,s,IINTY,a monetary unit of Kyrgyzstan [n -S]
,TIYNS,,INSTY,"TIYN, a monetary unit of Kazakhstan [n]"
,TIZES,,EISTZ,"TIZ, tizzy (a state of nervous confusion) [n]"
s,TOCKS,,CKOST,"TOCK, a short, hollow sound [n] / TOCK [v]"
,TOCOS,,COOST,"TOCO, a South American toucan [n]"
,TOLTS,,LOSTT,"TOLT, an isolated hill [n]"
,TOSAS,,AOSST,"TOSA, a dog of a breed of mastiff [n]"
,TOTTY,,OTTTY,[n TOTTIES]
,TRADS,,ADRST,TRAD [n]
,TRAYF,,AFRTY,not prepared according to Jewish law [adj]
,TREFA,h,AEFRT,[adj]
,TREMS,,EMRST,"TREM, an electric guitar lever for producing a tremolo [n]"
,TREYF,a,EFRTY,trayf (not prepared according to Jewish law) [adj]
,TSUBO,s,BOSTU,a Japanese unit of area [n -BOS]
,TUILE,s,EILTU,a thin cookie made with almonds [n TUILE] / [n -S]
,TULSI,s,ILSTU,a type of basil [n -S]
,TURRS,,RRSTU,"TURR, a murre (a diving bird) [n]"
,TUSKY,,KSTUY,"having tusks [adj TUSKIER, TUSKIEST]"
,TWEEP,s,EEPTW,one who uses the Twitter online message service [n -S]
,TWEER,,EERTW,"TWEE, affectedly cute or dainty [adj]"
,TWINK,sy,IKNTW,a weak or ineffectual person [n -S]
,UMMAH,s,AHMMU,umma (the whole community of Muslims) [n -S]
gs,UMMAS,,AMMSU,"UMMA, the whole community of Muslims [n]"
bghms,UMMED,,DEMMU,"UM, to hesitate or pause in speaking [v]"
bh,UMPHS,,HMPSU,"UMPH, oomph (spirited vigor) [n]"
,UMPTY,,MPTUY,"umpteen (indefinitely numerous) [adj] / [adj UMPTIER, UMPTIEST]"
,UNDOS,,DNOSU,"UNDO, a computer feature that allows the user to reverse the effect of the last action [n]"
t,UNICA,,ACINU,"UNICUM, a unique example or specimen [n]"
,VAREC,s,ACERV,seaweed (a plant growing in the sea) [n -S]
,VEGAS,,AEGSV,"VEGA, a large plain or valley [n]"
,VENDU,es,DENUV,"[n -ES, -S] / an offensive word [n -S]"
,VIFFS,,FFISV,"VIFF, to change direction abruptly of a vertical take-off aircraft [v]"
,VIVAT,s,AITVV,viva (a shout or cry used to express approval) [n -S]
,VLEIS,,EILSV,"VLEI, a hollow in South Africa in which water collects [n]"
,VLOGS,,GLOSV,"VLOG, to blog video material [v]"
,VOLKS,,KLOSV,"VOLK, the Afrikaner people [n]"
,VOXEL,s,ELOVX,each of an array of elements of volume in graphic simulation [n -S]
,VULNS,,LNSUV,"VULN, to wound (to inflict an injury upon) [v]"
,WALIS,,AILSW,"WALI, the governor of a province in an Arab country [n]"
,WAREZ,,AERWZ,illegally copied software [n WAREZ] / [n -ES]
,WETAS,,AESTW,"WETA, a large wingless insect of New Zealand [n]"
,WHYDA,hs,ADHWY,whydah (an African bird) [n -S]
,WIKIS,,IIKSW,"WIKI, a website that allows any user to add or edit content [n]"
s,WOOPY,,OOPWY,woopie (a well-off older person) [n -PIES]
,WOWEE,,EEOWW,used to express astonishment or admiration [interj]
,YAGES,,AEGSY,"YAGE, a tropical vine of the Amazon region [n]"
,YAPPY,,APPYY,"inclined to yap [adj -PIER, -PIEST]"
,YARAK,s,AAKRY,a fit condition for hunting -- used of a hawk [n -S]
,YEESH,,EEHSY,used to express frustration [interj]
,YOBBY,,BBOYY,"resembling a yob (a hooligan (a hoodlum (a thug))) [adj -BIER, -BIEST]"
,YOMPS,,MOPSY,"YOMP, to march with heavy equipment over difficult terrain [v]"
,YONKS,,KNOSY,a very long time [n]
,YOOFS,,FOOSY,"YOOF, youth (a young person) [n]"
,YUZUS,,SUUYZ,"YUZU, a sour Japanese citrus fruit [n]"
,ZAIDA,s,AADIZ,zeda (grandfather) [n -S]
,ZAIDY,,ADIYZ,zeda (grandfather) [n -DIES]
,ZAKAT,s,AAKTZ,payment made annually under Islamic law on certain kinds of property [n -S]
,ZEDAS,,ADESZ,"ZEDA, grandfather [n]"
,ZENDO,s,DENOZ,a place where Zen Buddhists meditate and study [n -DOS]
,ZINCO,s,CINOZ,a letterpress printing plate made of zinc [n -COS]
,ZIPPO,s,IOPPZ,nothing (the absence of all quantity or magnitude) [n -POS]
,ZOWEE,,EEOWZ,zowie (used to express surprise or pleasure) [interj]
,ZUPPA,s,APPUZ,a fish soup [n -S]
,ADBOTS,,ABDOST,"ADBOT, a specialized computer program [n]"
b,ADLAND,s,AADDLN,the world of advertising [n -S]
,ADMINS,,ADIMNS,"ADMIN, an administration [n]"
,ADSUKI,s,ADIKSU,adzuki (the edible seed of an Asian plant) [n -S]
,ADWARE,s,AADERW,computer software that is provided free but has advertisements [n -S]
,AGLOOS,,AGLOOS,"AGLOO, an air hole through the ice made by a seal [n]"
,AIRVAC,s,AACIRV,evacuation by air ambulance [n -S]
,AKEBIA,s,AABEIK,a climbing shrub [n -S]
,ALCOOL,s,ACLLOO,an alcoholic liquor [n -S]
,ALEXIC,,ACEILX,"ALEXIA, a cerebral disorder marked by the loss of the ability to read [adj]"
,ALLIAK,s,AAIKLL,an Inuit sledge [n -S]
,ALVARS,,AALRSV,"ALVAR, an area of exposed limestone [n]"
,AMAUTI,ks,AAIMTU,amautik (an Inuit woman's parka) [n -S]
r,AMENTA,,AAEMNT,"AMENTUM, ament (a mentally deficient person) [n]"
,AMINOS,,AIMNOS,"AMINO, a chemical group present in amines [n]"
,AMRITS,,AIMRST,"AMRIT, amrita (a beverage that bestows immortality in Hindu mythology) [n]"
,AMTRAK,s,AAKMRT,amtrac (a military vehicle equipped to move on land and water) [n -S]
,ANANDA,s,AAADNN,extreme happiness [n -S]
,ANGSTY,,AGNSTY,"feeling anxiety or dread [adj ANGSTIER, ANGSTIEST]"
,ANTHRO,s,AHNORT,anthropology [n -THROS]
,APEMAN,,AAEMNP,an extinct apelike primate [n -MEN]
,APEMEN,,AEEMNP,"APEMAN, an extinct apelike primate [n]"
,APHONY,,AHNOPY,aphonia (loss of voice) [n -NIES]
,APPLEY,,AELPPY,"resembling or suggestive of an apple [adj APPLIER, APPLIEST]"
,ARABIS,,AABIRS,a mat-forming plant [n -ES]
,ARTIGI,s,AGIIRT,atigi (a type of Inuit parka) [n -S]
,ARTSIE,rs,AEIRST,a student in an arts program [n -S]
gm,ASCONS,,ACNOSS,"ASCON, a type of sponge [n]"
,ASHINE,,AEHINS,shining (emitting or reflecting light) [adj]
,ASHPAN,s,AAHNPS,a tray under a grate to catch the ashes [n -S]
,ASKARI,s,AAIKRS,a soldier or police officer of eastern Africa [n -S]
,ASURAS,,AARSSU,"ASURA, a Hindu demon [n]"
,ATIGIS,,AGIIST,"ATIGI, a type of Inuit parka [n]"
,AUMBRY,,ABMRUY,ambry (a recess in a church wall for sacred vessels) [n -BRIES]
,AYAYAS,,AAASYY,"AYAYA, a type of singing among the Inuit [n]"
,BABACU,s,AABBCU,babassu (a palm tree) [n -S]
,BAIDAR,s,AABDIR,bidarka (an Inuit canoe) [n -S]
,BALDIE,s,ABDEIL,an offensive word [n -S]
,BALTIS,,ABILST,"BALTI, a type of Pakistani cuisine [n]"
,BARBOT,s,ABBORT,"barbotte (a large catfish (a scaleless, large-headed fish)) [n -S]"
,BARFIS,,ABFIRS,"BARFI, burfi (a dessert made from milk solids and sugar) [n]"
,BASSER,,ABERSS,"BASS, deep-sounding [adj]"
,BATARD,s,AABDRT,a birch-bark canoe [n -S]
,BATATA,s,AAABTT,a sweet potato [n -S]
,BAYEST,,ABESTY,"BAY, dark reddish-brown [adj]"
,BAYWOP,s,ABOPWY,an offensive word [n -S]
,BAZOOM,s,ABMOOZ,an offensive word [n -S]
,BAZZED,,ABDEZZ,"BAZZ, to throw (as a stone) [v]"
,BAZZES,,ABESZZ,"BAZZ, to throw (as a stone) [v]"
,BEGEMS,,BEEGMS,"BEGEM, to gem (to adorn with gems (precious stones)) [v]"
,BEIGER,,BEEGIR,"BEIGE, of a tan color [adj]"
,BERBER,s,BBEERR,a type of carpet [n -S]
,BETCHA,,ABCEHT,[v]
,BHAJIS,,ABHIJS,"BHAJI, an Indian dish of fried vegetables [n]"
,BIFIDA,,ABDFII,"BIFIDUM, a bacterium often added to yogurt [n]"
,BIMINI,s,BIIIMN,a type of awning for a yacht [n -S]
,BINMAN,,ABIMNN,a garbage collector [n -MEN]
,BINMEN,,BEIMNN,"BINMAN, a garbage collector [n]"
,BISHES,,BEHISS,"BISH, a bishop [n]"
,BLAGUE,s,ABEGLU,pretentious nonsense [n -S]
,BLAHER,,ABEHLR,"BLAH, dull, unexciting [adj]"
,BLEWIT,s,BEILTW,[n -S]
a,BLINGS,,BGILNS,"BLING, to adopt a flamboyant appearance [v]"
,BLOBBY,,BBBLOY,"splotchy (splotched) [adj -BIER, -BIEST]"
,BLOKEY,,BEKLOY,"blokeish (resembling the typical behavior of a bloke) [adj BLOKIER, BLOKIEST]"
,BLOOPY,,BLOOPY,"being a hit that is a short fly ball [adj BLOOPIER, BLOOPIEST]"
